{'pitch': 358.6507887639046, 'yaw': 209.28545558584884, 'roll': 180.82916629590488}
{'pitch': 358.6581715580671, 'yaw': 209.17764787998937, 'roll': 180.83616040961496}
{'pitch': 358.67025896518567, 'yaw': 209.09444251552026, 'roll': 180.83554569258968}
{'pitch': 358.68071726546543, 'yaw': 209.01579971741674, 'roll': 180.83277263578665}
{'pitch': 358.6997391288605, 'yaw': 208.93812680617535, 'roll': 180.84141965527587}
{'pitch': 358.7145177372337, 'yaw': 208.8583501966696, 'roll': 180.84341407051352}
{'pitch': 358.7299963332751, 'yaw': 208.79556709781883, 'roll': 180.83764939085404}
{'pitch': 358.74426662616366, 'yaw': 208.71969735651834, 'roll': 180.8381138437176}
{'pitch': 358.75916273513496, 'yaw': 208.65474225751151, 'roll': 180.84464350456412}
{'pitch': 358.77213209043003, 'yaw': 208.58911779996603, 'roll': 180.8518015428143}
{'pitch': 358.79452667989295, 'yaw': 208.52353432355557, 'roll': 180.8507087125471}
{'pitch': 358.80308426659275, 'yaw': 208.4594125076275, 'roll': 180.84848207087768}
{'pitch': 358.82327622676996, 'yaw': 208.39772223904393, 'roll': 180.8453538442378}
{'pitch': 358.82733101125945, 'yaw': 208.34462434843627, 'roll': 180.85073603330378}
{'pitch': 358.8443789499844, 'yaw': 208.2854885706023, 'roll': 180.84894652374123}
{'pitch': 358.8433180295072, 'yaw': 208.21855271673616, 'roll': 180.8474712028805}
{'pitch': 358.8444217453884, 'yaw': 208.16746290174447, 'roll': 180.84830448595926}
{'pitch': 358.8451802165514, 'yaw': 208.12189187960215, 'roll': 180.85263482589303}
{'pitch': 358.8606470732052, 'yaw': 208.09110138682374, 'roll': 180.8481542217975}
{'pitch': 358.86643832656944, 'yaw': 208.06946334753312, 'roll': 180.85304463724324}
{'pitch': 358.87295518081123, 'yaw': 208.0603108940453, 'roll': 180.84797663687908}
{'pitch': 358.88283280828983, 'yaw': 208.05431398795403, 'roll': 180.8511595050323}
{'pitch': 358.8896679066583, 'yaw': 208.05854870523945, 'roll': 180.84315452332507}
{'pitch': 358.88920494789863, 'yaw': 208.05830281842933, 'roll': 180.83539542842792}
{'pitch': 358.894971121662, 'yaw': 208.06567942273293, 'roll': 180.82864720152796}
{'pitch': 358.9031890131723, 'yaw': 208.08059655588025, 'roll': 180.8343572396741}
{'pitch': 358.91234018599965, 'yaw': 208.07010538531512, 'roll': 180.83650191907347}
{'pitch': 358.9153886915253, 'yaw': 208.05358998790203, 'roll': 180.83861927771616}
{'pitch': 358.92582671468097, 'yaw': 208.0437545154972, 'roll': 180.83882418339127}
{'pitch': 358.93218188553857, 'yaw': 208.0269249293823, 'roll': 180.83721225874714}
{'pitch': 358.9391476112749, 'yaw': 208.00046477653765, 'roll': 180.82972637141683}
{'pitch': 358.94177947526117, 'yaw': 207.9621200945372, 'roll': 180.83142025833098}
{'pitch': 358.9533675315183, 'yaw': 207.9380231871454, 'roll': 180.8288384468247}
{'pitch': 358.95338119189665, 'yaw': 207.91924016692786, 'roll': 180.83204863573462}
{'pitch': 358.95641518327034, 'yaw': 207.9044323168073, 'roll': 180.83547739069797}
{'pitch': 358.95834279072017, 'yaw': 207.89786167482572, 'roll': 180.83372886227045}
{'pitch': 358.96187463885127, 'yaw': 207.89698741061196, 'roll': 180.83386546605385}
{'pitch': 358.96588449350264, 'yaw': 207.89485639159093, 'roll': 180.83092848471074}
