p: 357.180487879, r: 344.1649509, y: 67.0522471198
p: 0.0743713885616, r: 344.663080011, y: 70.17976342
p: 3.2113261364, r: 347.516537532, y: 71.2008425499
p: 5.80754208474, r: 353.154416864, y: 71.7299636446
p: 7.55872361387, r: 357.624107385, y: 74.3667923246
p: 6.34637912346, r: 358.457962812, y: 76.5230215739
p: 4.76793350532, r: 358.49970562, y: 78.1264153117
p: 5.56687652735, r: 3.01256165514, y: 79.0777923612
p: 9.2786651384, r: 17.7049397438, y: 80.0701027344
p: 10.9092438829, r: 51.8041434959, y: 84.6450044216
p: 6.74626962389, r: 70.9069873213, y: 89.4163560097
p: 6.35240206964, r: 78.1452802942, y: 92.6896285468
p: 1.89353313016, r: 75.8744268103, y: 97.0570768983
p: 347.70919924, r: 75.6601023043, y: 103.596286349
p: 314.385507119, r: 63.1582333305, y: 124.471427661
p: 290.450362512, r: 32.7656161468, y: 155.722138585
p: 283.005907109, r: 13.327542368, y: 186.54164965
p: 286.242747417, r: 23.5016751887, y: 185.255415746
p: 310.349380999, r: 65.1735011357, y: 154.658077075
p: 342.764403535, r: 73.9714609754, y: 151.614995573
p: 0.258566229221, r: 68.9673706913, y: 144.221411419
p: 8.23635265784, r: 66.2164232107, y: 142.590130019
p: 5.92457993749, r: 72.6618951455, y: 141.827621361
p: 4.72355136298, r: 80.1343611541, y: 141.211661241
p: 6.27993333566, r: 102.856788598, y: 143.430789702
p: 4.59994286825, r: 114.654123559, y: 146.478037619
p: 0.837848206428, r: 121.627104664, y: 149.208077891
p: 1.99563826839, r: 119.72309381, y: 152.212049729
p: 2.8113325428, r: 77.0495198758, y: 154.999846081
p: 358.581843874, r: 49.017371673, y: 155.119975448
p: 356.611161302, r: 30.4193983555, y: 154.873200713
p: 356.816373269, r: 23.096810603, y: 153.97911529
p: 4.55743305152, r: 52.5228672267, y: 157.000736338
p: 2.79683589318, r: 76.6951628315, y: 160.952820395
p: 6.50280454272, r: 100.447794538, y: 167.162104388
p: 4.02188261445, r: 105.81176749, y: 175.257831989
p: 7.01879459866, r: 93.4278149017, y: 185.807527257
p: 32.1442055361, r: 47.0637838911, y: 173.30885117
p: 27.3914986568, r: 18.7337728461, y: 169.472279271
p: 14.0142922758, r: 19.0967564193, y: 185.347500356
p: 13.0023690144, r: 30.4806924731, y: 221.896880794
p: 359.608702251, r: 31.5350892659, y: 248.381676961
p: 352.647798255, r: 24.9102651012, y: 265.669466316
p: 342.76016028, r: 7.21147594269, y: 309.061320019
p: 340.105863391, r: 4.64530727717, y: 312.201622433
p: 350.002282428, r: 2.60575644195, y: 304.167492894
p: 348.155356588, r: 359.136716703, y: 297.789851568
p: 356.917743095, r: 351.758687771, y: 291.843085895
p: 6.37837471774, r: 351.908110966, y: 284.95277057
p: 2.39798251428, r: 345.476721173, y: 275.835806745
p: 358.249413551, r: 344.254282944, y: 266.707361372
p: 356.57734589, r: 350.363627609, y: 265.871366708
p: 355.567303705, r: 356.219515481, y: 261.485490506
p: 348.025623121, r: 17.7997103261, y: 256.249549451
p: 349.522849252, r: 14.2880795549, y: 252.213051085
p: 350.597734905, r: 15.5073195482, y: 248.307166427
p: 351.576630786, r: 14.9858141145, y: 244.518344382
p: 352.497519579, r: 14.698679792, y: 240.891554913
p: 353.368273075, r: 14.4079630353, y: 237.419578513
p: 354.18722471, r: 13.9914427317, y: 234.091787406
p: 354.93561366, r: 13.2661235994, y: 230.897034724
p: 355.57766126, r: 12.8607655326, y: 227.807029822
p: 356.206863836, r: 12.3447635238, y: 224.87153746
p: 356.774979548, r: 11.7740414545, y: 222.034345181
p: 357.293898474, r: 11.4072312678, y: 219.295384682
p: 357.778785983, r: 10.7975344315, y: 216.631132793
